State,Year,Population,Violent,Murder,Rape,Robbery,assault,Vandalism,Burglary,Larceny,GTA,Rate,Deaths,Laws,ID
MA,2016,6823721,25975,135,2141,5365,18334,106430,19204,79155,8071,3.4,242,101,25
MD,2016,6024752,29019,536,1827,10815,15841,139716,24832,100995,13889,11.9,707,66,24
ME,2016,1330232,1649,20,413,268,948,21908,4001,17131,776,8.3,123,11,23
MI,2016,9933445,45782,612,7268,7123,30779,190249,39738,130249,20262,12.3,1230,21,26
MN,2016,5525050,13365,101,2349,3730,7185,117723,18582,90421,8720,7.6,432,41,27
MO,2016,6091176,31720,538,2557,6576,22049,170661,31716,120649,18296,19,1144,7,29
MS,2016,2985415,8411,237,1282,2433,4459,82521,23489,54725,4307,19.9,587,2,28
MT,2016,1038656,3886,37,598,268,2983,28156,3966,21427,2763,18.9,194,4,30
NC,2016,10156689,37767,678,2847,9336,24906,277765,72082,190377,15306,13.7,1409,30,37
ND,2016,755548,1905,16,356,181,1352,17451,3248,12249,1954,11.9,90,14,38
NE,2016,1907603,5661,49,1108,946,3558,43197,6459,32009,4729,9.1,171,22,31
NH,2016,1335015,2668,19,609,431,1609,20323,2989,16454,880,9.3,132,10,33
NJ,2016,8978416,21861,378,1454,8940,11089,138012,25229,101459,11324,5.5,485,67,34
NM,2016,2085432,14585,139,1527,2737,10182,81930,17280,52907,11743,18.1,383,10,35
NV,2016,2939254,19924,228,1729,6338,11629,75922,18816,43949,13157,16.8,498,15,32
NY,2016,19836286,74315,629,6281,22310,45095,305224,39850,250990,14384,4.4,900,75,36
OH,2016,11622554,35759,683,5754,12574,16748,300945,67081,214102,19762,12.9,1524,16,39
OK,2016,3921207,17855,247,2100,3174,12334,118010,29376,76358,12276,19.6,766,9,40
OR,2016,4085989,10983,116,1784,2307,6776,121716,16919,91507,13290,11.9,513,35,41
PA,2016,12787085,40389,674,4459,12314,22942,222394,35178,174147,13069,12,1555,37,42
RI,2016,1057566,2529,29,445,541,1514,18910,3650,14157,1103,4.1,49,43,44
SC,2016,4959822,25137,358,2491,4071,18217,161534,33149,114455,13930,17.7,891,12,45
SD,2016,861542,3636,28,526,274,2808,17207,3002,12705,1500,13.4,108,5,46
TN,2016,6649404,42459,495,2803,7829,31332,191199,40607,135353,15239,17.1,1148,22,47
TX,2016,27904862,121064,1478,13446,33298,72842,769892,148796,552106,68990,12.1,3353,18,48
UT,2016,3044321,7406,74,1560,1528,4244,90561,12938,68261,9362,12.9,370,11,49
VA,2016,8414380,18495,482,2830,4826,10357,157292,20159,127285,9848,12.1,1049,13,51
VT,2016,623354,851,14,170,78,589,9705,1884,7637,184,11.1,78,6,50
